Set,Onderwerp,Subcategorie,Type,Vraag,Antwoord,Alternatief 1,Alternatief 2,Alternatief 3
2,Financial Accounting,Kengetallen,MC,Onderneming A haalt gemiddeld een rendement van 14 EUR op iedere 100 EUR die zij in haar activa heeft geinvesteerd. De activa zijn voor 60% met vreemd vermogen gefinancierd. De rentelasten bedragen 2% per annum. Over winsten moet 25% vennootschapsbelasting worden afgedragen. Bereken het rendement op het eigen vermogen (in hele procenten). HINT - Hefboomformule,24%,32%,19%,16%
2,Financial Accounting,Kengetallen,MC,Onderneming A heeft met alle leveranciers JIT afspraken gemaakt. Hierdoor dalen de voorraden. De schatting is dat de totale vermogensbehoefte met 10% zal dalen. Bereken de verwachte omloopsnelheid van het totale vermogen als de omzet gelijk blijft en de onderneming zonder JIT een omloopsnelheid van 6 haalde (rond af op 1 getal achter de komma).,"6,7","6,6","5,4","5,5"
2,Financial Accounting,Kengetallen,MC,Intensieve financiering vermindert:,de behoefte aan externe financiering,de balanswaarde van de post liquide middelen,de omzetsnelheid van het totaal vermogen,de levensduur van de activa
2,Financial Accounting,Kengetallen,MC,Bedrijf A haalt een rendement op het totaal vermogen dat ruimschoots boven de kosten van het vreemd vermogen ligt. Het bedrijf wil verder (winstgevend) investeren en besluit meer vreemd vermogen aan te trekken om de nieuwe projecten te financieren. Hierdoor zal het weerstandsvermogen dalen.  De leencondities blijven ongewijzigd. Het effect van de nieuwe investeringen op het rendement eigen vermogen (HINT - Hefboomformule):,zal positief zijn,zal negatief zijn,zal neutraal zijn,kan met deze gegevens niet worden bepaald
2,Financial Accounting,Kengetallen,MC,Welk overzicht is GEEN verplicht onderdeel van het jaarverslag?,Liquiditeitsrekening,Bestuursverslag,Balans,Resultatenrekening
2,Financial Accounting,Kengetallen,Open,Onderneming A neemt onderneming B over. De activa van B zijn getaxeerd op een marktwaarde van 700.000 EUR en een boekwaarde van 500.000 EUR. Het weerstandsvermogen van B (o.b.v. boekwaarde) bedraagt 40%. Alle aandelen van B zullen door A worden overgenomen voor een bedrag van 600.000 EUR. Bereken hoeveel Goodwill A betaalt bij de overname.,"\b200[.,]?000\b(EUR)?",,,
2,Financial Accounting,Kengetallen,Open,Een bedrijf heeft ontwikkelkosten op de balans geactivieerd. Welke post dient aan de creditzijde te worden toegevoegd?,[Ww]ettelijke reserve,,,
2,Financial Accounting,Kengetallen,Open,"Noem het systeem waarbij vorderingen op klanten worden verpand en het te vorderen bedrag direct (of in tranches) wordt uitgekeerd (eventueel onder aftrek van kosten voor administratie, verzekering en rente).",[Ff]actoring,,,
2,Financial Accounting,Kengetallen,Open,"Onderneming A wil overgaan op JIT. De schatting is dat de hierdoor de voorraden met 50% zullen dalen. Momenteel bedraagt de quick ratio 1,2. Het aandeel van de voorraden in de totale vlottende activa is op dit ogenblik ca. 25%. Bereken de quick ratio na invoering van het JIT systeem  (rond af op 1 getal achter de komma).","(1[.,]20*?)",,,
2,Financial Accounting,Kengetallen,Open,Onderneming A boekt haar inkopen als kosten zodra de rekening aan de leverancier is betaald. Welk principe of beginsel wordt hiermee geschaad?,[Mm]atching|[Tt]oerekening,,,
2,Financial Accounting,Kengetallen,Open,Bij welke leasevorm worden afschrijving- en interestkosten ten laste van het resultaat geboekt?,[Ff]inanc,,,
3,Financial Accounting,Kengetallen,MC,Bij welke transactie neemt het eigen vermogen toe en het vreemd vermogen af,Conversie van obligaties,Claimemissie,Dividenduitkering,Financial leasing
3,Financial Accounting,Kengetallen,MC,"Momenteel bedraagt de current ratio van onderneming A 1.6. Het aandeel van de voorraden in de totale vlottende activa is ca. 25%. Bereken de quick ratio (rond af op 1 getal achter de komma). HINT - Neem een willekeurig getal voor het VVK, bijvoorbeeld 1.000 EUR en redeneer verder.",1.2,0.4,2,1.6
3,Financial Accounting,Kengetallen,MC,Grote schommelingen in de RTV betekenen een hoog:,Bedrijfsrisico,Financieringsrisico,Renterisico,Aandeel van de variabele kosten in de totale lasten
3,Financial Accounting,Kengetallen,MC,De hefboomwerking van de vermogensstructuur treedt NIET in werking als:,RTV = KVV,RTV > KVV,VV < TV,VV = EV
3,Financial Accounting,Kengetallen,MC,Aan het realisatieprincipe wordt voldaan als omzet wordt geboekt op het moment van:,levering,betaling,overeenkomst,bestelling
3,Financial Accounting,Kengetallen,MC,"Onderneming A heeft al haar vorderingen ondergebracht bij een factoringbedrijf. Hierdoor daalt de post Debiteuren significant. De schatting is dat de totale vermogensbehoefte met 9% zal dalen. Bereken de verwachte omloopsnelheid van het totale vermogen als de omzet gelijk blijft en de onderneming zonder factoring een omloopsnelheid van 1,6 haalde (rond af op 1 getal achter de komma).","1,8","1,7","1,5","1,4"
3,Financial Accounting,Kengetallen,Open,Onderneming A heeft afgelopen jaar een rendement op het eigen vermogen behaald van 24%. Dit jaar zal 9% extra eigen vermogen worden aangetrokken om een overname te financieren. De overgenomen onderneming zal direct een positieve bijdrage leveren aan de nettowinst. Verwacht wordt dat deze met 14% zal stijgen. Bereken de verwachte REV na de overname (in hele procenten).,(\b25\b(%)?),,,
3,Financial Accounting,Kengetallen,Open,"Onderneming A heeft een voorraadtermijn van 155 dagen, biedt klanten gemiddeld 33 dagen betalingstermijn en ontvangt van haar leveranciers een betalingstermijn van 82 dagen. Bereken hoeveel dagen het NWK kapitaal moet worden gefinancierd.",10[4-7],270,204,40
3,Financial Accounting,Kengetallen,Open,Noem het fenomeen waarbij afzonderlijke activa op verschillende momenten hun maximale en minimale vermogensbehoefte bereiken.,[Dd]iversiteit,,,
3,Financial Accounting,Kengetallen,Open,Bij welke leasevorm wordt de contante waarde van de leaseverplichtingen als schuld op de balans geplaatst?,[Ff]inanc,,,
3,Financial Accounting,Kengetallen,Open,Onder welke categorie van passiva vallen reserves?,[Ee]igen [Vv]ermogen,,,
3,Financial Accounting,Kengetallen,Open,Noem het orgaan dat in Nederland de wettelijke voorschriften omtrent het opstellen van de externe verslaggeving bepaalt.,[Rr]aad ([Vv]oor )?([Dd]e )?[Jj]aarverslaggeving,,,
4,Financial Accounting,Kengetallen,MC,"Onderneming A heeft een voorraadtermijn van 50 dagen, biedt klanten gemiddeld 35 dagen betalingstermijn en ontvangt van haar leveranciers een betalingstermijn van 80 dagen. Bereken hoeveel dagen het NWK kapitaal moet worden gefinancierd.",5,165,95,65
4,Financial Accounting,Kengetallen,MC,De hefboomwerking van de vermogensstructuur treedt NIET in werking als:,VV = 0,RTV < KVV,VV = EV,RTV > KVV
4,Financial Accounting,Kengetallen,MC,Ebit is gelijk aan:,resultaat voor belastingen plus interestlasten,resultaat nz belastingen plus interestlasten en afschrijvingen,resultaat voor belastingen plus afschrijvingen,resultaat na belastingen plus interest
4,Financial Accounting,Kengetallen,MC,Onderneming A haalt gemiddeld een rendement van 2 EUR op iedere 100 EUR die zij in haar activa heeft geinvesteerd. De debt ratio bedraagt 40%. De rentelasten bedragen 8% per annum. Over winsten moet 25% vennootschapsbelasting worden afgedragen. Bereken het rendement op het eigen vermogen. HINT - Hefboomformule.,-1.50%,-2.00%,1.50%,4.50%
4,Financial Accounting,Kengetallen,MC,Welke van onderstaande items behoort tot het werkkapitaal?,Rekening courant,Obligatielening,Agioreserve,Goodwill
4,Financial Accounting,Kengetallen,MC,Als houders van converteerbare obligaties gebruik maken van hun conversierecht dan zal:,het weerstandsvermogen toenemen,de current ratio stijgen,de rentedekkingsfactor dalen,de solvabiliteit afnemen
4,Financial Accounting,Kengetallen,Open,Onder welke categorie van passiva vallen voorzieningen?,[Vv]reemd [Vv]ermogen,,,
4,Financial Accounting,Kengetallen,Open,"Momenteel bedraagt de quick ratio van onderneming A 0.87. Het aandeel van de voorraden in de totale vlottende activa is ca. 27.5%. Bereken de current ratio (rond af op 1 getal achter de komma). HINT - Neem een willekeurig getal voor de vlottende activa, bijvoorbeeld 1.000 EUR en redeneer verder.","(1[.,]20*?)",0.2,1.5,1.1
4,Financial Accounting,Kengetallen,Open,Onderneming A heeft een nettowinstmarge gerealiseerd van 10% en een REV van 25% bij een weerstandsvermogen van 60%. Bereken de omloopsnelheid van het totaal vermogen (rond af op 1 getal achter de komma). HINT - Zie p.455 Heezen.,"(1[.,]50*?)",4.166666667,0.24,2.5
4,Financial Accounting,Kengetallen,Open,Welke post aan de activa zijde neemt toe doordat een onderneming bij een overname meer betaalt dan de fair value?,[Gg]oodwill,,,
4,Financial Accounting,Kengetallen,Open,Een onderneming bezit een BV die momenteel in liquidatie is. In de geconsolideerde balans zijn de activa van de BV tegen going-concern-waarde opgenomen. Welke beginsel van financiele verslaggeving wordt hiermee geschonden?,[Cc]ontinu,,,
4,Financial Accounting,Kengetallen,Open,Een onderneming heeft 100 jaar geleden een gebouw in bezit gekregen op een centrale plaats in Amsterdam. Het gebouw is op de balans tegen aanschafwaarde gewaardeerd (zonder inflatiecorrectie en omgerekend naar EUR). De huidige waarde is nog niet vastgesteld. In dit geval is sprake van een:,[Ss]tille [Rr]eserve,,,
,Management Accounting,Kostprijs,MC,De standaardkostprijs bevat alleen:,de kosten van input die de klanten bereid zijn de vergoeden,alle inputkosten,de kosten die de onderneming daadwerkelijk heeft gemaakt,alle inputkosten plus een winstmarge
,Management Accounting,Resultatenrekening,MC,Een bedrijf realiseerde in Januari een omzet van 800.000 EUR (exclusief BTW). De beginvoorraad voor die maand had een waarde van 100.000 en de eindvoorraad 120.000 EUR. De inkopen bedroegen 520.000 EUR. Overige kosten (uitgezonderd de inkoopwaarde van de omzet) waren 150.000 EUR. In dit geval bedroeg de EBT:,150.000 EUR,130.000 EUR,650.000 EUR,30.000 EUR
1,Financial Accounting,Vermogensbehoefte,MC,Een lagere gemiddelde voorraad (bijvoorbeeld door JIT) heeft een positief effect op:,de omloopsnelheid van het totaal vermogen,de mogelijkheid om op korte termijn dividend uit te keren,de afschrijvingskosten,de waarde van de activa
1,Financial Accounting,Vermogensbehoefte,MC,In de premie die een factoringbedrijf in rekening brengt zit een vergoeding voor:,insolventierisico,transportkosten,facturering van de geleverde goederen,BTW verrekening
1,Financial Accounting,Vermogensbehoefte,MC,"Een onderneming schaft een machine aan met een levensduur van 5 jaar voor 100.000 EUR. De restwaarde is 0 EUR. De machine is voor 50 procent gefinancierd met vreemd vermogen en voor het overige met middelen uit de verkoop van oude machines. De lening wordt in gelijke bedragen per jaar afgelost. Met interestkosten wordt in deze casus geen rekening gehouden. In de kostprijs van het product zijn volgende kosten opgenomen:
- Grondstoffen: 8 EUR
- Salarissen: 12 EUR
De producten worden voor 50 EUR per stuk verkocht (contant). Voor de komende 5 jaar gaat men er van uit dat de machine jaarlijks 2.000 eenheden zal produceren, die direct zullen worden verkocht.
Bereken de jaarlijkse mutatie van de post ""Liquide middelen"" ten gevolge van de aanschaf.",50.000 EUR,40.000 EUR,30.000 EUR,60.000 EUR
1,Financial Accounting,Vermogensbehoefte,MC,Eigen vermogen is risicodragend omdat:,de vergoeding voor de vermogenverschaffers onzeker is,de vergoeding gekoppeld is aan de marktrente (EURIBOR),de waarde van aandelen kan fluctueren,het nooit wordt afgelost
1,Financial Accounting,Vermogensbehoefte,Open,Noem de leasevorm waarbij de lessee gedurende de gehele leaseperiode economisch eigenaar  is van het geleasde activum.,[Ff]inanc,,,
1,Financial Accounting,Vermogensbehoefte,Open,"Een onderneming heeft aandelen uitgegeven ter waarde van 28 EUR per aandeel. Door de emissie neemt het geplaatst aandelenkapitaal met 1 EUR per aandeel toe. Een maand na de emissie is de aandelenkoers gedaald tot 25,50 EUR. Hoeveel bedroeg de agio per aandeel?",\b27\b(EUR)?,,,
1,Financial Accounting,Vermogensbehoefte,Open,Onderneming A neemt onderneming B over. De activa van B zijn getaxeerd op een marktwaarde van 400.000 EUR. Het totale vermogen van B heeft een boekwaarde van 300.000 EUR en bestaat voor 50% uit vreemd vermogen. Alle aandelen van B zullen door A worden overgenomen voor een bedrag van 600.000 EUR. Bereken hoeveel Goodwill A betaalt bij de overname.,"\b350[.,]?000\b(EUR)?",,,
1,Financial Accounting,Vermogensbehoefte,Open,Een onderneming heeft 10.000 converteerbare obligaties uitgegeven met een nominale waarde van 1000 EUR. Als de obligatiehouders 1 obligatie inleveren en 600 EUR bijbetalen ontvangen ze 40 nieuwe aandelen met een nominale waarde van 10 EUR per stuk. Bereken met hoeveel de post Agioreserve zal toenemen als alle obligaties zullen worden omgeruild in aandelen.,"(\b12[.,]?000[.,]?000\b(EUR)?)",,,
2,Financial Accounting,Vermogensbehoefte,MC,Een vermindering van de post 'Debiteuren' heeft een positief effect op:,de omloopsnelheid van het totaal vermogen,de mogelijkheid om op korte termijn dividend uit te keren,de afschrijvingskosten,de waarde van de activa
2,Financial Accounting,Vermogensbehoefte,MC,Welke balansposten worden direct beinvloed als een bedrijf overgaat op factoring?,liquide middelen en debiteuren,voorraden en debiteuren,eigen vermogen en debiteuren,voorraden en liquide middelen
2,Financial Accounting,Vermogensbehoefte,MC,"Een onderneming schaft een machine aan met een levensduur van 6 jaar voor 120.000 EUR. De restwaarde is 0 EUR. De machine is voor 25 procent gefinancierd met vreemdvermogen en voor het overige met middelen uit de verkoop van oude machines. De lening wordt in gelijke bedragen per jaar afgelost. Met interestkosten wordt in deze casus geen rekening gehouden. In de kostprijs van het product zijn volgende kosten opgenomen:
- Grondstoffen: 11 EUR
- Salarissen: 14 EUR
De producten worden voor 50 EUR per stuk verkocht (contant).
Bereken de jaarlijkse mutatie van de post ""Liquide middelen"" ten gevolge van de aanschaf.",45.000 EUR,30.000 EUR,25.000 EUR,50.000 EUR
2,Financial Accounting,Vermogensbehoefte,MC,Welke balanspost wordt niet beinvloed door een conversie van obligaties in aandelen?,Voorzieningen,Aandelenkapitaal,Vreemd vermogen,Agioreserve
2,Financial Accounting,Vermogensbehoefte,Open,Noem de leasevorm waardoor balansverkorting plaatsvindt.,[Oo]perational,,,
2,Financial Accounting,Vermogensbehoefte,Open,Onderneming A neemt onderneming B over. De activa van B zijn getaxeerd op een marktwaarde van 700.000 EUR en een boekwaarde van 500.000 EUR. Het vermogen van B op de balans bestaat voor 60% uit vreemd vermogen. Alle aandelen van B zullen door A worden overgenomen voor een bedrag van 600.000 EUR. Bereken hoeveel Goodwill A betaalt bij de overname.,"(\b200[.,]?000\b(EUR)?)",,,
2,Financial Accounting,Vermogensbehoefte,Open,Onderneming A heeft een eigen vermogen met een nominale waarde van 50.000.000 EUR en wil dit uitbreiden met 20% via een claimemissie. Alle aandelen hebben een nominale waarde van 10 EUR. De emissiekoers van het nieuwe aandeel bedraagt 18 EUR. De verwachte beurswaarde van het eigen vermogen na de emissie is 120.000.000 EUR. Bereken de theoretische waarde van een claim.,"(\b0[.,]40?\b(EUR)?)",,,
2,Financial Accounting,Vermogensbehoefte,Open,Onderneming A heeft converteerbare obligaties uitstaan. De nominale waarde van een converteerbare obigatie is 1.000 EUR. Bij conversie ontvangt een obligatiehouder bij inlevering van 2 obligaties en 500 EUR bijbetaling 10 aandelen van 100 EUR nominaal. De aandelen hebben momenteel een beurskoers van 240 EUR. Bereken de conversiekoers in EUR.,(\b250\b(EUR)?),,,
3,Financial Accounting,Vermogensbehoefte,MC,Bij welke financieringsvorm vindt GEEN balansverkorting plaats?,Financial lease,Sale and lease back,Operational lease,Factoring
3,Financial Accounting,Vermogensbehoefte,MC,Onderneming A neemt onderneming B over. De activa van B zijn getaxeerd op een marktwaarde van 400.000 EUR en een boekwaarde van 300.000 EUR. Het vermogen van B op de balans bestaat voor 50% uit vreemd vermogen. Alle aandelen van B zullen door A worden overgenomen voor een bedrag van 450.000 EUR. Bereken hoeveel Goodwill A betaalt bij de overname.,200.000 EUR,300.000 EUR,225.000 EUR,50.000 EUR
3,Financial Accounting,Vermogensbehoefte,MC,Onderneming A heeft een eigen vermogen met een nominale waarde van 10.000.000 EUR en wil dit uitbreiden met 10% via een claimemissie. Alle aandelen hebben een nominale waarde van 100 EUR. De emissiekoers van het nieuwe aandeel bedraagt 395 EUR. De verwachte beurswaarde van het eigen vermogen na de emissie is 44.000.000 EUR. Bereken de theoretische waarde van een claim.,"0,50 EUR","5,00 EUR",295 EUR,"2,50 EUR"
3,Financial Accounting,Vermogensbehoefte,MC,Welke van onderstaande items behoort niet tot het vreemd vermogen?,Winstreserve,Voorziening pensioenverplichtingen,Crediteuren,Te betalen belastingen
3,Financial Accounting,Vermogensbehoefte,Open,"Een onderneming schaft een machine aan met een levensduur van 6 jaar voor 120.000 EUR. De restwaarde is 0 EUR. De machine is voor 25 procent gefinancierd met vreemdvermogen en voor via middelen uit de verkoop van oude machines. De lening wordt in gelijke bedragen per jaar afgelost. Met interestkosten wordt in deze casus geen rekening gehouden. In de kostprijs van het product zijn volgende kosten opgenomen:
- Grondstoffen: 11 EUR
- Salarissen: 14 EUR
De producten worden voor 50 EUR per stuk verkocht (contant). Men gaat er van uit dat de machine jaarlijks 2000eenheden zal produceren. Alle productie zal direct worden verkocht.
Bereken de jaarlijkse mutatie van de liquide middelen ten gevolge van de aanschaf van de machine.","(\b45[.,]?000\b(EUR)?)",,,
3,Financial Accounting,Vermogensbehoefte,Open,Onderneming A heeft converteerbare obligaties uitstaan. De nominale waarde van een converteerbare obigatie is 1.000 EUR en de conversiekoers bedraagt 1.500%. Bij conversie ontvangt een obligatiehouder 6 aandelen van 100 EUR nominaal. De aandelen hebben momenteel een beurskoers van 275 EUR. Bereken het agio per aandeel.,(\b150\b(EUR)?),,,
3,Financial Accounting,Vermogensbehoefte,Open,Op welke vermogensmarkt komt de beurskoers van een aandeel tot stand?,[Kk]apitaal,,,
3,Financial Accounting,Vermogensbehoefte,Open,Hoe heet het onderpand waarbij een onderneming haar vorderingen op afnemers overdraagt aan de bank?,[Cc]essie,,,
4,Financial Accounting,Vermogensbehoefte,MC,Onderneming A heeft converteerbare obligaties uitstaan. De nominale waarde van een converteerbare obigatie is 1.000 EUR en de conversiekoers bedraagt 2.500%. Bij conversie ontvangt een obligatiehouder 10 aandelen van 100 EUR nominaal. De aandelen hebben momenteel een beurskoers van 240 EUR. Bereken het agio per aandeel.,150 EUR,1500 EUR,140 EUR,250 EUR
4,Financial Accounting,Vermogensbehoefte,MC,"Een onderneming schaft een machine aan met een levensduur van 4 jaar voor 280000 EUR. De restwaarde is 0 EUR. De machine is voor 75 procent gefinancierd met vreemdvermogen en voor via middelen uit de verkoop van oude machines. De lening wordt in gelijke bedragen per jaar afgelost. Met interestkosten wordt in deze casus geen rekening gehouden. In de kostprijs van het product zijn volgende kosten opgenomen:
- Grondstoffen: 15 EUR
- Salarissen: 10 EUR.
De producten worden voor 50 EUR per stuk verkocht (contant). Men gaat er van uit dat de machine jaarlijks 2000eenheden zal produceren. Alle productie zal direct worden verkocht.
Bereken de jaarlijkse mutatie van de liquide middelen ten gevolge van de aanschaf van de machine.",-2.500 EUR,-20.000 EUR,-72.500 EUR,50.000 EUR
4,Financial Accounting,Vermogensbehoefte,MC,Factoring heeft een positief effect op:,de omloopsnelheid van het totaal vermogen,de voorraadkosten,de kosten van het lang vreemd vermogen,de omzet
4,Financial Accounting,Vermogensbehoefte,MC,Om de behoefte aan externe financiering te bepalen is informatie nodig over:,de verwachte in- en uitgaande geldstromen,de verwachte kosten en opbrengsten,de verwachte eindbalans,de intrinsieke waarde van het eigen vermogen
4,Financial Accounting,Vermogensbehoefte,Open,"Onderneming A heeft een eigen vermogen met een nominale waarde van 10.000.000 EUR en wil dit uitbreiden met 5% via een claimemissie. Alle aandelen hebben een nominale waarde van 1 EUR. De opbrengst van de emissie zal worden gebruikt om een bedrijf over te nemen. Na de emissie en de overname zal de totale jaarlijkse winst 48.000.000 EUR bedragen. Beleggers in onderneming A eisen een rendement van 12% per annum. Bereken de verwachte beurswaarde per aandeel na de emissie, afgerond op hele EUR.","(^3[7-8][.,]?\d*)",,,
4,Financial Accounting,Vermogensbehoefte,Open,Onderneming A neemt onderneming B over. De activa van B zijn getaxeerd op een marktwaarde van 200000 EUR en een boekwaarde van 100000 EUR. Het vermogen van B op de balans bestaat voor 75% uit vreemd vermogen. Alle aandelen van B zullen door A worden overgenomen voor een bedrag van 450000 EUR. Bereken hoeveel Goodwill A betaalt bij de overname.,"(\b325[.,]?000\b(EUR)?)",,,
4,Financial Accounting,Vermogensbehoefte,Open,Noem het juridische instrument waarmee de verhandelbaarheid van een achtergestelde lening kan worden verbeterd.,[Oo]bligatie ?clausule,,,
4,Financial Accounting,Vermogensbehoefte,Open,Welke soort waarde ligt het dichtst bij de beurswaarde (onder aanname van 'going concern'?,[Rr]entabiliteit,,,
,Management Accounting,Verschillenanalyse,MC,Welk type verschil kan alleen worden berekend voor variabele kosten?,efficientie,flexibel-budget,bezetting,ex-ante
,Management Accounting,Verschillenanalyse,MC,Welk type verschil kan alleen worden berekend voor vaste kosten?,bezetting,flexibel-budget,efficientie,ex-ante
